Rank,Node_ID_Power_Method,Node_PageRank_Power_Method,Node_ID_GS,Node_PageRank_GS
1,89073,0.009186778238038165,89073,0.009186778441593354
2,281772,0.009112392808384927,281772,0.009112398023395247
3,174665,0.007688530213997262,174665,0.007688527880145605
4,226411,0.004514465691196815,226411,0.004514465882906759
5,179645,0.004072721007232326,179645,0.004072721126265572
6,271409,0.003872332792545749,271409,0.0038723316028382543
7,262860,0.0034853303805070773,262860,0.003485330459208504
8,136821,0.0028208335430917678,136821,0.0028208325748286128
9,68889,0.002790214079360121,68889,0.0027902131157681604
10,77988,0.0026762456720788325,77988,0.0026762437506678903
11,116530,0.0026495193340545435,116530,0.0026495174393330956
12,251796,0.0024210875929562147,272442,0.0024210867714389702
13,272442,0.0024210875929562134,251796,0.002421086767988902
14,95163,0.0024210875929562134,95163,0.0024210867603373315
15,65580,0.0023158380633353836,65580,0.002315838197335658
16,119479,0.0021454787331277848,119479,0.002145479807545075
17,241454,0.0021144644755658843,241454,0.0021144644840130336
18,245765,0.002055636118175439,245765,0.002055634706463547
19,58048,0.002039661108165838,58048,0.0020396596784821434
20,14785,0.0018855005734832236,14785,0.0018855003515472236
21,77084,0.001823703261976886,77084,0.001823703370689162
22,117152,0.001640312899419333,117152,0.0016403125165253465
23,152337,0.0015594477689656952,152337,0.0015594455311238797
24,181701,0.0015338311563320797,181701,0.0015338311197679337
25,235496,0.0014977144756347619,235496,0.0014977141276597986
26,259455,0.0014959272703709199,259455,0.001495927235009678
27,247241,0.0014959272703709199,247241,0.0014959272349360866
28,120708,0.0014935752208233204,120708,0.0014935751850817219
29,62478,0.00149357522082332,62478,0.0014935751848943679
30,221087,0.001491088691598899,221087,0.0014910886561840821
31,176790,0.0014910886915988988,183004,0.0014910886561000267
32,137632,0.0014910886915988988,176790,0.0014910886560244446
33,17781,0.0014910886915988988,137632,0.0014910886559680843
34,183004,0.0014910886915988988,77999,0.0014910886557849001
35,77999,0.0014910886915988988,17781,0.0014910886556150718
36,96745,0.0014910856242824218,96745,0.0014910855885425364
37,119822,0.0013602387542725409,119822,0.0013602395526769527
38,27904,0.0012675528686762075,27904,0.0012675525723642182
39,272762,0.0012675516260874345,272762,0.0012675513339803915
40,96196,0.0012109060759805757,96196,0.0012109034655128396
41,229580,0.0012086590283469456,95366,0.0012086590998493124
42,95366,0.0012086590283469456,229580,0.0012086590992176007
43,169234,0.0011330487311015454,234962,0.0011330481715609905
44,234962,0.0011330487311015454,169234,0.0011330481651791854
45,58612,0.001127694743280716,236644,0.001127695393955766
46,264187,0.001127694743280716,49047,0.001127695393955766
47,236644,0.001127694743280716,137425,0.001127695393955766
48,275885,0.001127694743280716,85040,0.001127695393955766
49,49047,0.001127694743280716,264187,0.001127695393955766
50,137425,0.001127694743280716,144494,0.001127695393955766
